countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
ARG,2014,43024071,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,2013,42582455,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,2012,42161721,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,2011,41730660,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,2010,41288694,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,2009,40854831,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,2008,40424148,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,2007,40016763,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,2006,39622115,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,2005,39216789,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,2004,38815916,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,2003,38424282,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,2002,38029349,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,2001,37624825,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,2000,37213984,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1999,36794682,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1998,36372860,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1997,35947791,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1996,35513793,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1995,35070020,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1994,34613491,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1993,34152717,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1992,33693527,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1991,33230294,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1990,32755901,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1989,32270948,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1988,31780532,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1987,31291762,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1986,30811980,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1985,30336441,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1984,29863093,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1983,29391332,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1982,28924262,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1981,28463959,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1980,28011596,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1979,27568895,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1978,27132158,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1977,26701805,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1976,26282283,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1975,25874107,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1974,25461351,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1973,25046005,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1972,24644328,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1971,24257208,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1970,23878327,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1969,23508711,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1968,23150583,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1967,22799059,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1966,22453893,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1965,22112629,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1964,21769453,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1963,21421705,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1962,21072538,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1961,20726276,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
ARG,1960,20386045,,,0,SP.POP.TOTL,"Population, total",AR,Argentina
AUT,2014,8546356,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,2013,8479823,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,2012,8429991,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,2011,8391643,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,2010,8363404,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,2009,8343323,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,2008,8321496,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,2007,8295487,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,2006,8268641,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,2005,8227829,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,2004,8171966,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,2003,8121423,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,2002,8081957,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,2001,8042293,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,2000,8011566,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1999,7992324,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1998,7976789,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1997,7968041,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1996,7959017,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1995,7948278,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1994,7936118,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1993,7905633,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1992,7840709,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1991,7754891,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1990,7677850,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1989,7619567,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1988,7585317,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1987,7574586,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1986,7569794,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1985,7564985,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1984,7561434,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1983,7561910,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1982,7574140,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1981,7568710,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1980,7549433,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1979,7549425,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1978,7562305,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1977,7568430,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1976,7565525,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1975,7578903,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1974,7599038,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1973,7586115,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1972,7544201,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1971,7500482,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1970,7467086,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1969,7441055,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1968,7415403,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1967,7376998,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1966,7322066,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1965,7270889,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1964,7223801,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1963,7175811,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1962,7129864,,,0,SP.POP.TOTL,"Population, total",AT,Austria
AUT,1961,7086299,,,0,SP.POP.TOTL,"Population, total",AT,Austria
